"Date","Tot. Sent","Sent  on date","Processed in 24hr(2pm-2pm)","Tot. Positive","New Positve","Test Positivity Rate (TPR)","TPR last 7 day avg.","Daily Growth","Avg Daily Growth in  7 days"
"19-04-2021","14359016","87275","87275","1253068","13644","15.63","14.47","1.1","0.95"
"18-04-2021","14271741","108898","108898","1239424","18257","16.77","14.02","1.5","0.86"
"17-04-2021","14162843","81211","81211","1221167","13835","17.04","13.16","1.15","0.73"
"16-04-2021","14081632","67775","67775","1207332","10031","14.8","12.16","0.84","0.65"
"15-04-2021","14013857","60900","60900","1197301","8126","13.34","11.19","0.68","0.59"
"14-04-2021","13952957","65258","65258","1189175","8778","13.45","10.25","0.74","0.55"
"13-04-2021","13887699","73441","73441","1180397","7515","10.23","9.16","0.64","0.49"
"12-04-2021","13814258","45417","45417","1172882","5692","12.53","8.54","0.49","0.44"
"11-04-2021","13768841","65003","65003","1167190","6986","10.75","7.59","0.6","0.4"
"10-04-2021","13703838","61957","61957","1160204","6194","10","6.94","0.54","0.35"
"09-04-2021","13641881","63240","63240","1154010","5063","8.01","6.32","0.44","0.3"
"08-04-2021","13578641","63901","63901","1148947","4353","6.81","5.87","0.38","0.27"
"07-04-2021","13514740","60554","60554","1144594","3502","5.78","5.63","0.31","0.25"
"06-04-2021","13454186","59051","59051","1141092","3502","5.93","5.57","0.31","0.24"
"05-04-2021","13395135","40191","40191","1137590","2357","5.86","5.31","0.21","0.23"
"04-04-2021","13354944","45171","45171","1135233","2802","6.2","5.06","0.25","0.22"
"03-04-2021","13309773","44779","44779","1132431","2541","5.67","4.85","0.22","0.21"
"02-04-2021","13264994","51783","51783","1129890","2508","4.84","4.6","0.22","0.21"
"01-04-2021","13213211","54347","54347","1127382","2798","5.15","4.41","0.25","0.2"
"31-03-2021","13158864","49427","49427","1124584","2653","5.37","4.23","0.24","0.19"
"30-03-2021","13109437","58557","58557","1121931","2389","4.08","4.08","0.21","0.18"
"29-03-2021","13050880","37377","37377","1119542","1549","4.14","3.99","0.14","0.18"
"28-03-2021","13013503","47229","47229","1117993","2216","4.69","3.91","0.2","0.18"
"27-03-2021","12966274","52288","52288","1115777","2055","3.93","3.84","0.18","0.17"
"26-03-2021","12913986","52252","52252","1113722","1825","3.49","3.78","0.16","0.17"
"25-03-2021","12861734","51027","51027","1111897","1989","3.9","3.82","0.18","0.18"
"24-03-2021","12810707","56740","56740","1109908","2456","4.33","3.76","0.22","0.17"
"23-03-2021","12753967","57425","57425","1107452","1985","3.46","3.64","0.18","0.17"
"22-03-2021","12696542","34821","34821","1105467","1239","3.56","3.61","0.11","0.17"
"21-03-2021","12661721","44675","44675","1104228","1875","4.2","3.49","0.17","0.17"
"20-03-2021","12617046","58777","58777","1102353","2078","3.54","3.4","0.19","0.17"
"19-03-2021","12558269","53184","53184","1100275","1984","3.73","3.39","0.18","0.17"
"18-03-2021","12505085","54314","54314","1098291","1899","3.5","3.34","0.17","0.16"
"17-03-2021","12450771","60193","60193","1096392","2098","3.49","3.28","0.19","0.17"
"16-03-2021","12390578","60974","60974","1094294","1970","3.23","3.35","0.18","0.17"
"15-03-2021","12329604","38410","38410","1092324","1054","2.74","3.37","0.1","0.18"
"14-03-2021","12291194","50565","50565","1091270","1792","3.54","3.5","0.16","0.18"
"13-03-2021","12240629","58344","58344","1089478","2035","3.49","3.57","0.19","0.19"
"12-03-2021","12182285","52134","52134","1087443","1780","3.41","3.72","0.16","0.2"
"11-03-2021","12130151","69838","69838","1085663","2133","3.05","3.83","0.2","0.21"
"10-03-2021","12060313","62486","62486","1083530","2475","3.96","3.99","0.23","0.22"
"09-03-2021","11997827","65906","65906","1081055","2252","3.42","4.08","0.21","0.22"
"08-03-2021","11931921","39046","39046","1078739","1412","3.62","4.21","0.13","0.23"
"07-03-2021","11892875","51948","51948","1077327","2100","4.04","4.3","0.2","0.24"
"06-03-2021","11840927","61764","61764","1075227","2791","4.52","4.46","0.26","0.26"
"05-03-2021","11779163","66103","66103","1072436","2776","4.2","4.55","0.26","0.27"
"04-03-2021","11713060","63041","63041","1069660","2616","4.15","4.72","0.25","0.28"
"03-03-2021","11650019","59646","59646","1067044","2765","4.64","4.95","0.26","0.3"
"02-03-2021","11590373","68094","68094","1064279","2938","4.31","5.12","0.28","0.32"
"01-03-2021","11522279","45995","45995","1061341","1938","4.21","5.33","0.18","0.33"
"28-02-2021","11476284","62769","62769","1059403","3254","5.18","5.56","0.31","0.34"
"27-02-2021","11413515","73710","73710","1056149","3792","5.14","5.84","0.36","0.35"
"26-02-2021","11339805","67812","67812","1052357","3671","5.41","6.11","0.35","0.36"
"25-02-2021","11271993","63582","63582","1048686","3677","5.78","6.29","0.35","0.37"
"24-02-2021","11208411","70568","70568","1045009","4106","5.82","6.44","0.39","0.39"
"23-02-2021","11137843","69604","69604","1040903","4034","5.8","6.6","0.39","0.4"
"22-02-2021","11068239","38103","38103","1036869","2212","5.81","6.72","0.21","0.42"
"21-02-2021","11030136","57241","57241","1034657","4070","7.11","6.94","0.39","0.43"
"20-02-2021","10972895","65968","65968","1030587","4650","7.05","6.99","0.45","0.44"
"19-02-2021","10906927","67574","67574","1025937","4505","6.67","6.89","0.44","0.45"
"18-02-2021","10839353","67506","67506","1021432","4584","6.79","6.97","0.45","0.47"
