,Date_YMD,KL
0,2020-03-14,19
3,2020-03-15,5
6,2020-03-16,3
9,2020-03-17,0
12,2020-03-18,0
15,2020-03-19,1
18,2020-03-20,12
21,2020-03-21,12
24,2020-03-22,15
27,2020-03-23,28
30,2020-03-24,14
33,2020-03-25,9
36,2020-03-26,19
39,2020-03-27,39
42,2020-03-28,6
45,2020-03-29,20
48,2020-03-30,32
51,2020-03-31,7
54,2020-04-01,24
57,2020-04-02,21
60,2020-04-03,9
63,2020-04-04,11
66,2020-04-05,8
69,2020-04-06,13
72,2020-04-07,9
75,2020-04-08,9
78,2020-04-09,12
81,2020-04-10,7
84,2020-04-11,10
87,2020-04-12,2
90,2020-04-13,3
93,2020-04-14,8
96,2020-04-15,1
99,2020-04-16,7
102,2020-04-17,1
105,2020-04-18,4
108,2020-04-19,2
111,2020-04-20,6
114,2020-04-21,19
117,2020-04-22,11
120,2020-04-23,10
123,2020-04-24,3
126,2020-04-25,7
129,2020-04-26,11
132,2020-04-27,13
135,2020-04-28,4
138,2020-04-29,10
141,2020-04-30,2
144,2020-05-01,0
147,2020-05-02,2
150,2020-05-03,0
153,2020-05-04,0
156,2020-05-05,3
159,2020-05-06,0
162,2020-05-07,0
165,2020-05-08,1
168,2020-05-09,2
171,2020-05-10,7
174,2020-05-11,7
177,2020-05-12,5
180,2020-05-13,10
183,2020-05-14,26
186,2020-05-15,16
189,2020-05-16,11
192,2020-05-17,14
195,2020-05-18,29
198,2020-05-19,12
201,2020-05-20,24
204,2020-05-21,24
207,2020-05-22,42
210,2020-05-23,62
213,2020-05-24,53
216,2020-05-25,49
219,2020-05-26,67
222,2020-05-27,40
225,2020-05-28,85
228,2020-05-29,62
231,2020-05-30,58
234,2020-05-31,61
237,2020-06-01,57
240,2020-06-02,86
243,2020-06-03,82
246,2020-06-04,94
249,2020-06-05,111
252,2020-06-06,108
255,2020-06-07,107
258,2020-06-08,91
261,2020-06-09,91
264,2020-06-10,65
267,2020-06-11,83
270,2020-06-12,78
273,2020-06-13,85
276,2020-06-14,54
279,2020-06-15,82
282,2020-06-16,79
285,2020-06-17,75
288,2020-06-18,97
291,2020-06-19,118
294,2020-06-20,127
297,2020-06-21,133
300,2020-06-22,138
303,2020-06-23,141
306,2020-06-24,152
309,2020-06-25,123
312,2020-06-26,150
315,2020-06-27,195
318,2020-06-28,118
321,2020-06-29,122
324,2020-06-30,131
327,2020-07-01,151
330,2020-07-02,160
333,2020-07-03,211
336,2020-07-04,240
339,2020-07-05,225
342,2020-07-06,193
345,2020-07-07,272
348,2020-07-08,301
351,2020-07-09,339
354,2020-07-10,416
357,2020-07-11,488
360,2020-07-12,435
363,2020-07-13,449
366,2020-07-14,608
369,2020-07-15,623
372,2020-07-16,722
375,2020-07-17,791
378,2020-07-18,593
381,2020-07-19,821
384,2020-07-20,794
387,2020-07-21,720
390,2020-07-22,1038
393,2020-07-23,1078
396,2020-07-24,885
399,2020-07-25,1103
402,2020-07-26,927
405,2020-07-27,702
408,2020-07-28,1167
411,2020-07-29,903
414,2020-07-30,506
417,2020-07-31,1310
420,2020-08-01,1129
423,2020-08-02,1169
426,2020-08-03,961
429,2020-08-04,1083
432,2020-08-05,1195
435,2020-08-06,1298
438,2020-08-07,1251
441,2020-08-08,1420
444,2020-08-09,1211
447,2020-08-10,1184
450,2020-08-11,1417
453,2020-08-12,1212
456,2020-08-13,1564
459,2020-08-14,1569
462,2020-08-15,1608
465,2020-08-16,1530
468,2020-08-17,1725
471,2020-08-18,1758
474,2020-08-19,2333
477,2020-08-20,1968
480,2020-08-21,1983
483,2020-08-22,2172
486,2020-08-23,1908
489,2020-08-24,1242
492,2020-08-25,2375
495,2020-08-26,2476
498,2020-08-27,2406
501,2020-08-28,2543
504,2020-08-29,2397
507,2020-08-30,2154
510,2020-08-31,1530
513,2020-09-01,1140
516,2020-09-02,1547
519,2020-09-03,1553
522,2020-09-04,2479
525,2020-09-05,2655
528,2020-09-06,3082
531,2020-09-07,1648
534,2020-09-08,3026
537,2020-09-09,3402
540,2020-09-10,3349
543,2020-09-11,2988
546,2020-09-12,2885
549,2020-09-13,3139
552,2020-09-14,2540
555,2020-09-15,3216
558,2020-09-16,3830
561,2020-09-17,4351
564,2020-09-18,4167
567,2020-09-19,4644
570,2020-09-20,4696
573,2020-09-21,2910
576,2020-09-22,4125
579,2020-09-23,5376
582,2020-09-24,6324
585,2020-09-25,6477
588,2020-09-26,7006
591,2020-09-27,7445
594,2020-09-28,4538
597,2020-09-29,7354
600,2020-09-30,8830
603,2020-10-01,8135
606,2020-10-02,9258
609,2020-10-03,7834
612,2020-10-04,8553
615,2020-10-05,5042
618,2020-10-06,7871
621,2020-10-07,10606
624,2020-10-08,5445
627,2020-10-09,9250
630,2020-10-10,11755
633,2020-10-11,9347
636,2020-10-12,5930
639,2020-10-13,8764
642,2020-10-14,6244
645,2020-10-15,7789
648,2020-10-16,7283
651,2020-10-17,9016
654,2020-10-18,7631
657,2020-10-19,5022
660,2020-10-20,6591
663,2020-10-21,8369
666,2020-10-22,7482
669,2020-10-23,8511
672,2020-10-24,8253
675,2020-10-25,6843
678,2020-10-26,4287
681,2020-10-27,5457
684,2020-10-28,8790
687,2020-10-29,7020
690,2020-10-30,6638
693,2020-10-31,7983
696,2020-11-01,7025
699,2020-11-02,4138
702,2020-11-03,6862
705,2020-11-04,8516
708,2020-11-05,6820
711,2020-11-06,7002
714,2020-11-07,7201
717,2020-11-08,5440
720,2020-11-09,3593
723,2020-11-10,6010
726,2020-11-11,7007
729,2020-11-12,5537
732,2020-11-13,5804
735,2020-11-14,6357
738,2020-11-15,4581
741,2020-11-16,2710
744,2020-11-17,5792
747,2020-11-18,6419
750,2020-11-19,5722
753,2020-11-20,6028
756,2020-11-21,5772
759,2020-11-22,5254
762,2020-11-23,3757
765,2020-11-24,5420
768,2020-11-25,6491
771,2020-11-26,5378
774,2020-11-27,3966
777,2020-11-28,6250
780,2020-11-29,5643
783,2020-11-30,3382
786,2020-12-01,5375
789,2020-12-02,6316
792,2020-12-03,5376
795,2020-12-04,5718
798,2020-12-05,5848
801,2020-12-06,4777
804,2020-12-07,3272
807,2020-12-08,5032
810,2020-12-09,4875
813,2020-12-10,4470
816,2020-12-11,4642
819,2020-12-12,5949
822,2020-12-13,4698
825,2020-12-14,2707
828,2020-12-15,5218
831,2020-12-16,6185
834,2020-12-17,4969
837,2020-12-18,5456
840,2020-12-19,6293
843,2020-12-20,5711
846,2020-12-21,3423
849,2020-12-22,6049
852,2020-12-23,6169
855,2020-12-24,5177
858,2020-12-25,5397
861,2020-12-26,3527
864,2020-12-27,4905
867,2020-12-28,3047
870,2020-12-29,5887
873,2020-12-30,6268
876,2020-12-31,5215
