,Date_YMD,KL
2,2020-03-14,0
5,2020-03-15,0
8,2020-03-16,0
11,2020-03-17,0
14,2020-03-18,0
17,2020-03-19,0
20,2020-03-20,0
23,2020-03-21,0
26,2020-03-22,0
29,2020-03-23,0
32,2020-03-24,0
35,2020-03-25,0
38,2020-03-26,0
41,2020-03-27,0
44,2020-03-28,1
47,2020-03-29,0
50,2020-03-30,0
53,2020-03-31,1
56,2020-04-01,0
59,2020-04-02,0
62,2020-04-03,0
65,2020-04-04,0
68,2020-04-05,0
71,2020-04-06,0
74,2020-04-07,0
77,2020-04-08,0
80,2020-04-09,0
83,2020-04-10,0
86,2020-04-11,1
89,2020-04-12,0
92,2020-04-13,0
95,2020-04-14,0
98,2020-04-15,0
101,2020-04-16,0
104,2020-04-17,0
107,2020-04-18,0
110,2020-04-19,0
113,2020-04-20,0
116,2020-04-21,0
119,2020-04-22,0
122,2020-04-23,0
125,2020-04-24,1
128,2020-04-25,0
131,2020-04-26,0
134,2020-04-27,0
137,2020-04-28,0
140,2020-04-29,0
143,2020-04-30,0
146,2020-05-01,0
149,2020-05-02,0
152,2020-05-03,0
155,2020-05-04,0
158,2020-05-05,0
161,2020-05-06,0
164,2020-05-07,0
167,2020-05-08,0
170,2020-05-09,0
173,2020-05-10,0
176,2020-05-11,0
179,2020-05-12,0
182,2020-05-13,0
185,2020-05-14,0
188,2020-05-15,0
191,2020-05-16,0
194,2020-05-17,0
197,2020-05-18,0
200,2020-05-19,0
203,2020-05-20,0
206,2020-05-21,0
209,2020-05-22,1
212,2020-05-23,0
215,2020-05-24,1
218,2020-05-25,0
221,2020-05-26,1
224,2020-05-27,0
227,2020-05-28,1
230,2020-05-29,1
233,2020-05-30,1
236,2020-05-31,0
239,2020-06-01,1
242,2020-06-02,1
245,2020-06-03,0
248,2020-06-04,3
251,2020-06-05,0
254,2020-06-06,1
257,2020-06-07,0
260,2020-06-08,1
263,2020-06-09,0
266,2020-06-10,1
269,2020-06-11,1
272,2020-06-12,1
275,2020-06-13,0
278,2020-06-14,0
281,2020-06-15,1
284,2020-06-16,0
287,2020-06-17,0
290,2020-06-18,1
293,2020-06-19,0
296,2020-06-20,0
299,2020-06-21,0
302,2020-06-22,0
305,2020-06-23,1
308,2020-06-24,0
311,2020-06-25,0
314,2020-06-26,0
317,2020-06-27,0
320,2020-06-28,0
323,2020-06-29,1
326,2020-06-30,1
329,2020-07-01,1
332,2020-07-02,0
335,2020-07-03,0
338,2020-07-04,0
341,2020-07-05,0
344,2020-07-06,2
347,2020-07-07,0
350,2020-07-08,0
353,2020-07-09,0
356,2020-07-10,0
359,2020-07-11,2
362,2020-07-12,2
365,2020-07-13,2
368,2020-07-14,1
371,2020-07-15,1
374,2020-07-16,2
377,2020-07-17,1
380,2020-07-18,2
383,2020-07-19,2
386,2020-07-20,1
389,2020-07-21,1
392,2020-07-22,1
395,2020-07-23,5
398,2020-07-24,4
401,2020-07-25,5
404,2020-07-26,2
407,2020-07-27,2
410,2020-07-28,4
413,2020-07-29,1
416,2020-07-30,2
419,2020-07-31,3
422,2020-08-01,8
425,2020-08-02,1
428,2020-08-03,2
431,2020-08-04,3
434,2020-08-05,7
437,2020-08-06,3
440,2020-08-07,5
443,2020-08-08,4
446,2020-08-09,2
449,2020-08-10,7
452,2020-08-11,5
455,2020-08-12,6
458,2020-08-13,3
461,2020-08-14,10
464,2020-08-15,7
467,2020-08-16,10
470,2020-08-17,13
473,2020-08-18,6
476,2020-08-19,7
479,2020-08-20,9
482,2020-08-21,12
485,2020-08-22,15
488,2020-08-23,5
491,2020-08-24,11
494,2020-08-25,10
497,2020-08-26,13
500,2020-08-27,10
503,2020-08-28,7
506,2020-08-29,6
509,2020-08-30,7
512,2020-08-31,7
515,2020-09-01,4
518,2020-09-02,7
521,2020-09-03,10
524,2020-09-04,11
527,2020-09-05,11
530,2020-09-06,10
533,2020-09-07,12
536,2020-09-08,13
539,2020-09-09,12
542,2020-09-10,12
545,2020-09-11,14
548,2020-09-12,15
551,2020-09-13,14
554,2020-09-14,15
557,2020-09-15,11
560,2020-09-16,14
563,2020-09-17,10
566,2020-09-18,12
569,2020-09-19,18
572,2020-09-20,16
575,2020-09-21,18
578,2020-09-22,19
581,2020-09-23,20
584,2020-09-24,21
587,2020-09-25,22
590,2020-09-26,21
593,2020-09-27,21
596,2020-09-28,20
599,2020-09-29,22
602,2020-09-30,23
605,2020-10-01,29
608,2020-10-02,20
611,2020-10-03,22
614,2020-10-04,23
617,2020-10-05,23
620,2020-10-06,25
623,2020-10-07,22
626,2020-10-08,24
629,2020-10-09,25
632,2020-10-10,23
635,2020-10-11,25
638,2020-10-12,22
641,2020-10-13,21
644,2020-10-14,20
647,2020-10-15,23
650,2020-10-16,24
653,2020-10-17,26
656,2020-10-18,22
659,2020-10-19,21
662,2020-10-20,24
665,2020-10-21,26
668,2020-10-22,23
671,2020-10-23,26
674,2020-10-24,25
677,2020-10-25,26
680,2020-10-26,20
683,2020-10-27,24
686,2020-10-28,27
689,2020-10-29,26
692,2020-10-30,28
695,2020-10-31,27
698,2020-11-01,28
701,2020-11-02,21
704,2020-11-03,26
707,2020-11-04,28
710,2020-11-05,26
713,2020-11-06,27
716,2020-11-07,28
719,2020-11-08,24
722,2020-11-09,22
725,2020-11-10,28
728,2020-11-11,29
731,2020-11-12,25
734,2020-11-13,26
737,2020-11-14,26
740,2020-11-15,21
743,2020-11-16,19
746,2020-11-17,27
749,2020-11-18,28
752,2020-11-19,26
755,2020-11-20,28
758,2020-11-21,25
761,2020-11-22,27
764,2020-11-23,22
767,2020-11-24,24
770,2020-11-25,26
773,2020-11-26,27
776,2020-11-27,23
779,2020-11-28,25
782,2020-11-29,27
785,2020-11-30,21
788,2020-12-01,26
791,2020-12-02,28
794,2020-12-03,31
797,2020-12-04,29
800,2020-12-05,32
803,2020-12-06,28
806,2020-12-07,23
809,2020-12-08,31
812,2020-12-09,35
815,2020-12-10,26
818,2020-12-11,29
821,2020-12-12,32
824,2020-12-13,29
827,2020-12-14,24
830,2020-12-15,33
833,2020-12-16,27
836,2020-12-17,27
839,2020-12-18,23
842,2020-12-19,29
845,2020-12-20,30
848,2020-12-21,27
851,2020-12-22,27
854,2020-12-23,22
857,2020-12-24,22
860,2020-12-25,16
863,2020-12-26,21
866,2020-12-27,25
869,2020-12-28,14
872,2020-12-29,24
875,2020-12-30,28
878,2020-12-31,30
881,2021-01-01,23
884,2021-01-02,21
887,2021-01-03,25
890,2021-01-04,19
893,2021-01-05,24
896,2021-01-06,25
899,2021-01-07,25
902,2021-01-08,23
905,2021-01-09,22
908,2021-01-10,23
911,2021-01-11,20
914,2021-01-12,25
917,2021-01-13,26
920,2021-01-14,19
923,2021-01-15,23
926,2021-01-16,27
929,2021-01-17,21
932,2021-01-18,17
935,2021-01-19,26
938,2021-01-20,18
941,2021-01-21,21
944,2021-01-22,19
947,2021-01-23,23
950,2021-01-24,20
953,2021-01-25,17
956,2021-01-26,19
959,2021-01-27,20
962,2021-01-28,19
965,2021-01-29,22
968,2021-01-30,18
971,2021-01-31,21
974,2021-02-01,17
977,2021-02-02,16
980,2021-02-03,20
983,2021-02-04,17
986,2021-02-05,19
989,2021-02-06,16
992,2021-02-07,19
995,2021-02-08,16
998,2021-02-09,19
1001,2021-02-10,18
1004,2021-02-11,16
1007,2021-02-12,18
1010,2021-02-13,16
1013,2021-02-14,15
1016,2021-02-15,13
1019,2021-02-16,18
1022,2021-02-17,16
1025,2021-02-18,14
1028,2021-02-19,15
1031,2021-02-20,13
1034,2021-02-21,15
1037,2021-02-22,16
1040,2021-02-23,14
1043,2021-02-24,17
1046,2021-02-25,14
1049,2021-02-26,14
1052,2021-02-27,18
1055,2021-02-28,15
1058,2021-03-01,13
1061,2021-03-02,16
1064,2021-03-03,15
1067,2021-03-04,14
1070,2021-03-05,16
1073,2021-03-06,16
1076,2021-03-07,13
1079,2021-03-08,12
1082,2021-03-09,16
1085,2021-03-10,14
1088,2021-03-11,13
1091,2021-03-12,14
1094,2021-03-13,12
1097,2021-03-14,15
1100,2021-03-15,11
1103,2021-03-16,15
1106,2021-03-17,13
1109,2021-03-18,15
1112,2021-03-19,17
1115,2021-03-20,15
1118,2021-03-21,13
1121,2021-03-22,12
1124,2021-03-23,10
1127,2021-03-24,10
1130,2021-03-25,12
1133,2021-03-26,14
