,Date_YMD,KL
1,2020-03-14,3
4,2020-03-15,0
7,2020-03-16,0
10,2020-03-17,0
13,2020-03-18,0
16,2020-03-19,0
19,2020-03-20,0
22,2020-03-21,0
25,2020-03-22,0
28,2020-03-23,0
31,2020-03-24,1
34,2020-03-25,0
37,2020-03-26,7
40,2020-03-27,0
43,2020-03-28,1
46,2020-03-29,4
49,2020-03-30,4
52,2020-03-31,4
55,2020-04-01,2
58,2020-04-02,2
61,2020-04-03,14
64,2020-04-04,8
67,2020-04-05,6
70,2020-04-06,3
73,2020-04-07,12
76,2020-04-08,13
79,2020-04-09,13
82,2020-04-10,27
85,2020-04-11,19
88,2020-04-12,36
91,2020-04-13,19
94,2020-04-14,13
97,2020-04-15,7
100,2020-04-16,27
103,2020-04-17,10
106,2020-04-18,2
109,2020-04-19,13
112,2020-04-20,21
115,2020-04-21,16
118,2020-04-22,1
121,2020-04-23,8
124,2020-04-24,15
127,2020-04-25,7
130,2020-04-26,4
133,2020-04-27,13
136,2020-04-28,4
139,2020-04-29,10
142,2020-04-30,14
145,2020-05-01,9
148,2020-05-02,8
151,2020-05-03,1
154,2020-05-04,61
157,2020-05-05,0
160,2020-05-06,7
163,2020-05-07,5
166,2020-05-08,10
169,2020-05-09,1
172,2020-05-10,4
175,2020-05-11,0
178,2020-05-12,0
181,2020-05-13,1
184,2020-05-14,3
187,2020-05-15,0
190,2020-05-16,4
193,2020-05-17,0
196,2020-05-18,0
199,2020-05-19,0
202,2020-05-20,5
205,2020-05-21,8
208,2020-05-22,2
211,2020-05-23,3
214,2020-05-24,5
217,2020-05-25,12
220,2020-05-26,10
223,2020-05-27,10
226,2020-05-28,3
229,2020-05-29,10
232,2020-05-30,10
235,2020-05-31,15
238,2020-06-01,18
241,2020-06-02,19
244,2020-06-03,24
247,2020-06-04,39
250,2020-06-05,22
253,2020-06-06,50
256,2020-06-07,41
259,2020-06-08,11
262,2020-06-09,34
265,2020-06-10,57
268,2020-06-11,62
271,2020-06-12,32
274,2020-06-13,46
277,2020-06-14,56
280,2020-06-15,73
283,2020-06-16,60
286,2020-06-17,90
289,2020-06-18,89
292,2020-06-19,96
295,2020-06-20,57
298,2020-06-21,93
301,2020-06-22,88
304,2020-06-23,60
307,2020-06-24,81
310,2020-06-25,53
313,2020-06-26,65
316,2020-06-27,102
319,2020-06-28,42
322,2020-06-29,79
325,2020-06-30,75
328,2020-07-01,132
331,2020-07-02,202
334,2020-07-03,201
337,2020-07-04,209
340,2020-07-05,126
343,2020-07-06,167
346,2020-07-07,111
349,2020-07-08,107
352,2020-07-09,149
355,2020-07-10,112
358,2020-07-11,143
361,2020-07-12,132
364,2020-07-13,162
367,2020-07-14,181
370,2020-07-15,196
373,2020-07-16,228
376,2020-07-17,132
379,2020-07-18,204
382,2020-07-19,172
385,2020-07-20,245
388,2020-07-21,274
391,2020-07-22,272
394,2020-07-23,432
397,2020-07-24,968
400,2020-07-25,1049
403,2020-07-26,689
406,2020-07-27,745
409,2020-07-28,679
412,2020-07-29,641
415,2020-07-30,794
418,2020-07-31,864
421,2020-08-01,752
424,2020-08-02,688
427,2020-08-03,815
430,2020-08-04,1021
433,2020-08-05,1234
436,2020-08-06,800
439,2020-08-07,814
442,2020-08-08,1715
445,2020-08-09,970
448,2020-08-10,784
451,2020-08-11,1426
454,2020-08-12,880
457,2020-08-13,766
460,2020-08-14,1304
463,2020-08-15,803
466,2020-08-16,1099
469,2020-08-17,1131
472,2020-08-18,1365
475,2020-08-19,1217
478,2020-08-20,1217
481,2020-08-21,1419
484,2020-08-22,1292
487,2020-08-23,1110
490,2020-08-24,1238
493,2020-08-25,1456
496,2020-08-26,1351
499,2020-08-27,2067
502,2020-08-28,2097
505,2020-08-29,2225
508,2020-08-30,1766
511,2020-08-31,1693
514,2020-09-01,2111
517,2020-09-02,2129
520,2020-09-03,1950
523,2020-09-04,2716
526,2020-09-05,2111
529,2020-09-06,2196
532,2020-09-07,2246
535,2020-09-08,1862
538,2020-09-09,2058
541,2020-09-10,1657
544,2020-09-11,1326
547,2020-09-12,1944
550,2020-09-13,1855
553,2020-09-14,2110
556,2020-09-15,2532
559,2020-09-16,2263
562,2020-09-17,2737
565,2020-09-18,2744
568,2020-09-19,2862
571,2020-09-20,2751
574,2020-09-21,3022
577,2020-09-22,3007
580,2020-09-23,2951
583,2020-09-24,3168
586,2020-09-25,3481
589,2020-09-26,3199
592,2020-09-27,3391
595,2020-09-28,3347
598,2020-09-29,3420
601,2020-09-30,3536
604,2020-10-01,2828
607,2020-10-02,4092
610,2020-10-03,4476
613,2020-10-04,4851
616,2020-10-05,4640
619,2020-10-06,4981
622,2020-10-07,6161
625,2020-10-08,7003
628,2020-10-09,8048
631,2020-10-10,7570
634,2020-10-11,8924
637,2020-10-12,7836
640,2020-10-13,7723
643,2020-10-14,7792
646,2020-10-15,7082
649,2020-10-16,6767
652,2020-10-17,7991
655,2020-10-18,8410
658,2020-10-19,7469
661,2020-10-20,7375
664,2020-10-21,6839
667,2020-10-22,7593
670,2020-10-23,6118
673,2020-10-24,6468
676,2020-10-25,7649
679,2020-10-26,7107
682,2020-10-27,7015
685,2020-10-28,7660
688,2020-10-29,8474
691,2020-10-30,7828
694,2020-10-31,7330
697,2020-11-01,8511
700,2020-11-02,7108
703,2020-11-03,8802
706,2020-11-04,8206
709,2020-11-05,7699
712,2020-11-06,7854
715,2020-11-07,7120
718,2020-11-08,6853
721,2020-11-09,5983
724,2020-11-10,6698
727,2020-11-11,7252
730,2020-11-12,6119
733,2020-11-13,6201
736,2020-11-14,6793
739,2020-11-15,6684
742,2020-11-16,6567
745,2020-11-17,6620
748,2020-11-18,7066
751,2020-11-19,6860
754,2020-11-20,6398
757,2020-11-21,6719
760,2020-11-22,6227
763,2020-11-23,5425
766,2020-11-24,5149
769,2020-11-25,5770
772,2020-11-26,5970
775,2020-11-27,4544
778,2020-11-28,5275
781,2020-11-29,5861
784,2020-11-30,6055
787,2020-12-01,6151
790,2020-12-02,5924
793,2020-12-03,5590
796,2020-12-04,5496
799,2020-12-05,5820
802,2020-12-06,5217
805,2020-12-07,4705
808,2020-12-08,4735
811,2020-12-09,4647
814,2020-12-10,4847
817,2020-12-11,4748
820,2020-12-12,5268
823,2020-12-13,5258
826,2020-12-14,4481
829,2020-12-15,5066
832,2020-12-16,5728
835,2020-12-17,4970
838,2020-12-18,4701
841,2020-12-19,4749
