,Date,Tot. Sent
38,03-08-2020,834215
39,04-08-2020,858960
40,05-08-2020,884056
41,06-08-2020,908355
42,07-08-2020,936651
43,08-08-2020,963632
44,09-08-2020,984208
45,10-08-2020,1000988
46,11-08-2020,1027433
47,12-08-2020,1056360
48,13-08-2020,1087722
49,14-08-2020,1120935
50,15-08-2020,1154365
51,16-08-2020,1182727
52,17-08-2020,1205759
53,18-08-2020,1240076
54,19-08-2020,1276358
55,20-08-2020,1312992
56,21-08-2020,1349071
57,22-08-2020,1386775
58,23-08-2020,1422558
59,24-08-2020,1446380
60,25-08-2020,1484907
61,26-08-2020,1525792
62,27-08-2020,1564783
63,28-08-2020,1608013
64,29-08-2020,1643633
65,30-08-2020,1669779
66,31-08-2020,1685203
67,01-09-2020,1697042
68,02-09-2020,1724658
69,03-09-2020,1755568
70,04-09-2020,1792330
71,05-09-2020,1832275
72,06-09-2020,1872496
73,07-09-2020,1891703
74,08-09-2020,1933294
75,09-09-2020,1978316
76,10-09-2020,2018921
77,11-09-2020,2053801
78,12-09-2020,2099549
79,13-09-2020,2132795
80,14-09-2020,2152585
81,15-09-2020,2198858
82,16-09-2020,2245139
83,17-09-2020,2287796
84,18-09-2020,2336217
85,19-09-2020,2384611
86,20-09-2020,2427374
87,21-09-2020,2450599
88,22-09-2020,2492757
89,23-09-2020,2545385
90,24-09-2020,2600359
91,25-09-2020,2657430
92,26-09-2020,2717040
93,27-09-2020,2770734
94,28-09-2020,2804319
95,29-09-2020,2862094
96,30-09-2020,2925734
97,01-10-2020,2985534
98,02-10-2020,3049791
99,03-10-2020,3104878
100,04-10-2020,3164072
101,05-10-2020,3198423
102,06-10-2020,3263691
103,07-10-2020,3340242
104,08-10-2020,3402903
105,09-10-2020,3471365
106,10-10-2020,3538678
107,11-10-2020,3594320
108,12-10-2020,3628429
109,13-10-2020,3676682
110,14-10-2020,3726738
111,15-10-2020,3776892
112,16-10-2020,3828728
113,17-10-2020,3880795
114,18-10-2020,3939199
115,19-10-2020,3975798
116,20-10-2020,4029699
117,21-10-2020,4091729
118,22-10-2020,4147822
119,23-10-2020,4212611
120,24-10-2020,4280204
121,25-10-2020,4328416
122,26-10-2020,4363557
123,27-10-2020,4409750
124,28-10-2020,4476730
125,29-10-2020,4531069
126,30-10-2020,4585050
127,31-10-2020,4645049
128,01-11-2020,4695059
129,02-11-2020,4728404
130,03-11-2020,4789542
131,04-11-2020,4860812
132,05-11-2020,4922200
133,06-11-2020,4985584
134,07-11-2020,5049635
135,08-11-2020,5098433
136,09-11-2020,5130922
137,10-11-2020,5185673
138,11-11-2020,5249865
139,12-11-2020,5307067
140,13-11-2020,5365288
141,14-11-2020,5426841
142,15-11-2020,5472967
143,16-11-2020,5498108
144,17-11-2020,5554265
145,18-11-2020,5621634
146,19-11-2020,5688651
147,20-11-2020,5749016
148,21-11-2020,5809226
149,22-11-2020,5857241
150,23-11-2020,5892900
151,24-11-2020,5952883
152,25-11-2020,6018925
153,26-11-2020,6074921
154,27-11-2020,6114029
155,28-11-2020,6178012
156,29-11-2020,6227787
157,30-11-2020,6262476
158,01-12-2020,6321285
159,02-12-2020,6378278
160,03-12-2020,6438754
161,04-12-2020,6496210
162,05-12-2020,6556713
163,06-12-2020,6608606
164,07-12-2020,6642364
165,08-12-2020,6702885
166,09-12-2020,6755630
167,10-12-2020,6808399
168,11-12-2020,6861907
169,12-12-2020,6921597
170,13-12-2020,6967972
171,14-12-2020,6999865
172,15-12-2020,7056318
173,16-12-2020,7118200
174,17-12-2020,7179051
175,18-12-2020,7233523
176,19-12-2020,7293518
177,20-12-2020,7347376
178,21-12-2020,7382223
179,22-12-2020,7447052
180,23-12-2020,7508489
181,24-12-2020,7564562
182,25-12-2020,7613415
183,26-12-2020,7649001
184,27-12-2020,7695117
185,28-12-2020,7727986
186,29-12-2020,7789764
187,30-12-2020,7853651
188,31-12-2020,7911934
189,01-01-2021,7964724
190,02-01-2021,8018822
191,03-01-2021,8066113
192,04-01-2021,8099621
193,05-01-2021,8160890
194,06-01-2021,8224781
195,07-01-2021,8285394
196,08-01-2021,8344963
197,09-01-2021,8406202
198,10-01-2021,8451897
199,11-01-2021,8487178
200,12-01-2021,8551792
201,13-01-2021,8620873
202,14-01-2021,8688585
203,15-01-2021,8751519
204,16-01-2021,8816427
205,17-01-2021,8868737
206,18-01-2021,8901830
207,19-01-2021,8968089
208,20-01-2021,9029621
209,21-01-2021,9090900
210,22-01-2021,9148957
211,23-01-2021,9210023
212,24-01-2021,9258401
213,25-01-2021,9289304
214,26-01-2021,9349619
215,27-01-2021,9400749
216,28-01-2021,9459221
217,29-01-2021,9518036
218,30-01-2021,9576795
219,31-01-2021,9625913
220,01-02-2021,9659492
221,02-02-2021,9712432
222,03-02-2021,9772067
223,04-02-2021,9856074
224,05-02-2021,9948005
225,06-02-2021,10030809
226,07-02-2021,10096326
227,08-02-2021,10144253
228,09-02-2021,10214097
229,10-02-2021,10294203
230,11-02-2021,10365859
231,12-02-2021,10440267
232,13-02-2021,10526236
233,14-02-2021,10588079
234,15-02-2021,10627542
235,16-02-2021,10701894
236,17-02-2021,10771847
237,18-02-2021,10839353
238,19-02-2021,10906927
239,20-02-2021,10972895
240,21-02-2021,11030136
241,22-02-2021,11068239
242,23-02-2021,11137843
243,24-02-2021,11208411
244,25-02-2021,11271993
245,26-02-2021,11339805
246,27-02-2021,11413515
247,28-02-2021,11476284
248,01-03-2021,11522279
249,02-03-2021,11590373
250,03-03-2021,11650019
251,04-03-2021,11713060
252,05-03-2021,11779163
253,06-03-2021,11840927
254,07-03-2021,11892875
255,08-03-2021,11931921
256,09-03-2021,11997827
257,10-03-2021,12060313
258,11-03-2021,12130151
259,12-03-2021,12182285
260,13-03-2021,12240629
261,14-03-2021,12291194
262,15-03-2021,12329604
263,16-03-2021,12390578
264,17-03-2021,12450771
265,18-03-2021,12505085
266,19-03-2021,12558269
267,20-03-2021,12617046
268,21-03-2021,12661721
269,22-03-2021,12696542
270,23-03-2021,12753967
271,24-03-2021,12810707
272,25-03-2021,12861734
273,26-03-2021,12913986
274,27-03-2021,12966274
275,28-03-2021,13013503
276,29-03-2021,13050880
277,30-03-2021,13109437
278,31-03-2021,13158864
279,01-04-2021,13213211
280,02-04-2021,13264994
281,03-04-2021,13309773
282,04-04-2021,13354944
283,05-04-2021,13395135
284,06-04-2021,13454186
285,07-04-2021,13514740
286,08-04-2021,13578641
287,09-04-2021,13641881
288,10-04-2021,13703838
289,11-04-2021,13768841
290,12-04-2021,13814258
291,13-04-2021,13887699
292,14-04-2021,13952957
293,15-04-2021,14013857
294,16-04-2021,14081632
295,17-04-2021,14162843
296,18-04-2021,14271741
297,19-04-2021,14359016
298,20-04-2021,14471237
299,21-04-2021,14593000
300,22-04-2021,14728177
301,23-04-2021,14858794
302,24-04-2021,14989949
303,25-04-2021,15116722
304,26-04-2021,15213100
305,27-04-2021,15354299
306,28-04-2021,15492489
307,29-04-2021,15650037
308,30-04-2021,15799524
309,01-05-2021,15945998
310,02-05-2021,16058633
311,03-05-2021,16154929
312,04-05-2021,16297517
313,05-05-2021,16460838
314,06-05-2021,16616470
315,07-05-2021,16760815
316,08-05-2021,16909361
317,09-05-2021,17033341
318,10-05-2021,17133089
319,11-05-2021,17272376
320,12-05-2021,17418696
321,13-05-2021,17558352
322,14-05-2021,17689727
323,15-05-2021,17812355
324,16-05-2021,17928337
325,17-05-2021,18014842
326,18-05-2021,18149395
