,Date,TPR last 7 day avg.
38,03-08-2020,4.92
39,04-08-2020,4.75
40,05-08-2020,4.9
41,06-08-2020,5.3
42,07-08-2020,5.11
43,08-08-2020,5.04
44,09-08-2020,5.09
45,10-08-2020,5.3
46,11-08-2020,5.44
47,12-08-2020,5.36
48,13-08-2020,5.31
49,14-08-2020,5.35
50,15-08-2020,5.29
51,16-08-2020,5.22
52,17-08-2020,5.28
53,18-08-2020,5.24
54,19-08-2020,5.56
55,20-08-2020,5.62
56,21-08-2020,5.73
57,22-08-2020,5.87
58,23-08-2020,5.86
59,24-08-2020,5.53
60,25-08-2020,5.68
61,26-08-2020,5.63
62,27-08-2020,5.74
63,28-08-2020,5.8
64,29-08-2020,5.93
65,30-08-2020,6.35
66,31-08-2020,7.02
67,01-09-2020,7.52
68,02-09-2020,7.45
69,03-09-2020,7.29
70,04-09-2020,7.41
71,05-09-2020,7.4
72,06-09-2020,7.32
73,07-09-2020,7.13
74,08-09-2020,6.79
75,09-09-2020,7.07
76,10-09-2020,7.53
77,11-09-2020,7.79
78,12-09-2020,7.74
79,13-09-2020,8.0
80,14-09-2020,8.61
81,15-09-2020,8.56
82,16-09-2020,8.66
83,17-09-2020,8.94
84,18-09-2020,8.95
85,19-09-2020,9.42
86,20-09-2020,9.64
87,21-09-2020,9.59
88,22-09-2020,10.0
89,23-09-2020,10.27
90,24-09-2020,10.46
91,25-09-2020,10.85
92,26-09-2020,11.16
93,27-09-2020,11.57
94,28-09-2020,11.71
95,29-09-2020,12.13
96,30-09-2020,12.65
97,01-10-2020,12.95
98,02-10-2020,13.39
99,03-10-2020,13.74
100,04-10-2020,13.83
101,05-10-2020,13.99
102,06-10-2020,13.9
103,07-10-2020,13.9
104,08-10-2020,13.19
105,09-10-2020,13.07
106,10-10-2020,13.53
107,11-10-2020,13.86
108,12-10-2020,14.25
109,13-10-2020,15.12
110,14-10-2020,14.93
111,15-10-2020,15.9
112,16-10-2020,15.98
113,17-10-2020,15.96
114,18-10-2020,15.43
115,19-10-2020,14.9
116,20-10-2020,14.06
117,21-10-2020,14.2
118,22-10-2020,13.89
119,23-10-2020,13.76
120,24-10-2020,13.03
121,25-10-2020,13.19
122,26-10-2020,12.97
123,27-10-2020,12.91
124,28-10-2020,12.86
125,29-10-2020,12.8
126,30-10-2020,12.68
127,31-10-2020,12.84
128,01-11-2020,12.81
129,02-11-2020,12.84
130,03-11-2020,12.76
